岗位名称,公司名称,薪资,岗位描述,投递要求,工作地点,学历,工作时长,实习时长
互联网运营实习生,毛小汪,50-80/天,【岗位职责】1、运营工作：负责宠物相关互联网平台的文案创作和运营，比如微信公众平台、今日头条、新浪微博，抖音等平台的实操，可天天和可爱的萌宠接触，了解当下热点行业资讯。2、营销工作：配合团队做营销工作，帮助公司增加整体销售额，增加利润。3、策划工作：为团队发展出谋划策，调动各个团队实现粉丝的增长或者销售额的提升。【任职要求】1、仅接受在校本科大一和研一的学生报名。 2、对互联网或者宠物行业感兴趣，有充足的课余时间。每天可累计工作三小时，有意向工作至少一年。 3、为人踏实认真，有一定抗压能力，面对多项任务能合理分配时间，具有创新能力，能为团队出谋划策，不甘平庸。 4、接触过平台运营或者有文案创作功底、会图片视频剪辑（ae\pr\ps等）技能的同学，没有经验肯学习有耐心的也欢迎。【你将获得】1、免费培训，不收取任何费用。 2、岗位晋升机会大，表现优异者可带团队，成为teamleader 3、给开实习证明，不再担心实习没地方去。 4、结实各地大学生人才，积累的人脉资源。 5、充分接触互联网行业，拓宽以后的职业发展，如果足够有能力，迈入BAT不是梦。,投递要求：简历要求：不限截止日期：,线上,本科,7天／周,实习12个月
Java开发实习生,用友金融,150-200/天,岗位职责：1、参与公司产品及项目开发，完成需求分析，完成子系统和模块设计；2、根据项目进度要求，完成子系统和模块开发、单元测试和系统联调；3、根据公司规范要求，编写技术文档；4、系统重构、功能升级和解决bug。任职要求：1、2023届，计算机及其相关专业，全日制一本及以上学历；2、计算机基础知识扎实，网络，数据库，操作系统，开发语言（java优先）方面；3、善于沟通，有独立思考能力，独立学习能力，有担当，有团队精神。,投递要求：简历要求：中文截止日期：,上海市浦东新区陆家嘴,本科,5天／周,实习6个月
UE4开发实习生,空岛科技,150-180/天,岗位职责：1．主要进行Unreal引擎的开发及接口实现，使用游戏引擎进行交互式开发；2．根据设计需求，合理利用和整合引擎各部分的功能模块；3．指导美术使用Unreal的基本功能，整理相关使用文档。4．针对Oculus、HTC Vive等VR设备的蓝图编辑，完成功能开发；5．完成与服务器端的通信协议设计、联合调试工作；6．进行BUG修复，完成功能的单元测试，集成测试工作；岗位要求：1．计算机相关专业；2．具有3D图形学基础；3．热爱编程，能够承受开发压力，责任心强；,投递要求：简历要求：中文截止日期：,增泽世贸9楼JK室,本科,4天／周,实习6个月
系统开发工程师,正瀛资产,100-200/天,工作职责 1. 参与公司核心产品功能和架构开发 2. 参与核心技术算法研究、实现和优化 3. 参与前瞻性技术的跟踪和产品创新  工作要求 1.本科及以上计算机相关专业 2.熟练使用python 3.操作过数据库(MySQL和MongoDB均可) 4.对网络连接有基本了解 5.会写javaScript 加分,投递要求：简历要求：中文截止日期：,上海市浦东新区陆家嘴,本科,4天／周,实习3个月
C++开发工程师,伯兄投资,500-1000/天,职责描述：负责高性能交易系统和低延迟系统开发任职要求：1.       0-2年相关工作经验2.       211或985全日制本科计算机、EE专业毕业3.       熟悉C++特别是C++11的多线程程序开发4.       对构造低延迟高性能计算系统有兴趣5.       对一门以上脚本语言有了解（Python、Ruby、Lua或者Perl），不要求精通加分条件：1.       有过计算机竞赛经历并且在省级比赛获得过名次2.       对金融交易有兴趣3.       对于程序性能有着偏执的狂热,投递要求：简历要求：中文截止日期：,上海市静安区恒隆广场,本科,5天／周,实习3个月
LINUX开发工程师,SenseTime商汤科技,250-500/天,岗位职责：1.负责基于ARM和X86平台的Linux应用程序开发；2.负责基于Linux的AI SDK移植和适配；3.负责部分app开发工作， 实现产品功能；任职要求：1. 全日制统招本科及以上学历；2. 熟练应用linux，熟悉C或C++开发；3. 逻辑清晰，善于思考，具有良好的执行力和责任心；加分项：1. 活跃的 Github 用户，参与过开源项目和技术分享；2. 有良好的主观能动性和沟通能力，能快速熟悉并掌握新技术；3. 除JAVA之外了解更多的后端语言，如 Go、C++、Python 等；4. 至少3个月的实习生，可长期实习的学生优先；,投递要求：简历要求：中文截止日期：,上海徐汇区虹梅路1900号商汤科技大厦,本科,5天／周,实习3个月
C++开发实习生,衍复投资,500-800/天,工作职责1. 负责策略研究需求的设计和实现；2. 参与量化交易系统的设计开发和维护；3. 参与大数据平台的开发和优化；任职资格1. 2023届或2024届国内外名校，本科及以上学历，计算机相关专业；2. 熟练掌握常用的数据结构和算法；3. 熟练掌握C++；4. 思路清晰，逻辑能力强；5. 实习3个月，每周至少4天（不支持线上实习）；,投递要求：简历要求：中文截止日期：,上海市徐汇区龙华中路596号绿地中心A座909,本科,4天／周,实习3个月
软件开发工程师,SenseTime商汤科技,250-500/天,岗位职责： 1.负责基于ARM和X86平台的Linux应用程序开发； 2.负责基于Linux的AI SDK移植和适配； 3.负责部分app开发工作， 实现产品功能；  任职要求： 1. 全日制统招本科及以上学历； 2. 熟练应用linux，熟悉C或C++开发； 3. 熟练python gui开发可优先； 4. 逻辑清晰，善于思考，具有良好的执行力和责任心；  加分项： 1. 活跃的 Github 用户，参与过开源项目和技术分享； 2. 有良好的主观能动性和沟通能力，能快速熟悉并掌握新技术； 3. 除JAVA之外了解更多的后端语言，如 Go、C++、Python 等； 4. 至少3个月的实习生，可长期实习的学生优先；,投递要求：简历要求：中文截止日期：,上海徐汇区虹梅路1900号商汤科技大厦,本科,5天／周,实习3个月
GIS开发工程师,星逻智能,150-200/天,工作职责：1. 负责无人机正射图像拼接及发布；2. 负责优化全自动流程；3. 负责图像应用层开发支持。岗位要求：1. 熟悉图像拼接及切图发布软件，如 Arcgis、Geo Server，Pix4D等；2. 熟练掌握图像处理专业基础知识；3. 每周可实习四天以上；4. 可提供住宿。,投递要求：简历要求：中文截止日期：,上海浦东海洋一路333号4栋1层；上海浦东锦绣东路1999号；苏州星湖街328号,硕士,5天／周,实习3个月
Android开发实习生,SenseTime商汤科技,300-400/天,岗位职责：1、负责公司人脸识别等AI技术在Android端的开发落地；2、参与 APP 版本迭代、性能优化及安装部署；3、完成项目技术文档编写，参与专利申请。任职要求：1、 熟练使用Android Studio， adb、Git， Gradle， shell脚本等开发工具；2、扎实的计算机专业基础，熟练掌握Java开发语言，熟悉JUnit单元测试、Kotlin优先；3、熟悉掌握Android 四大组件、多线程、图片/网络常见开源框架，熟悉MVVM、Jetpack常用组件；4、了解Android性能优化，包括但不限于布局、内存泄露、ANR等问题优化；5、有较强的责任心和团队精神，对技术有热情，积极上进。,投递要求：简历要求：中文截止日期：,上海市徐汇区漕河泾开发区,本科,5天／周,实习3个月
UE引擎开发,摩尔线程,300-500/天,职位描述协助负责开发数字人/元宇宙应用客户端，包括角色驱动、逻辑、系统、网络、UI等模块同AI部门同时对接，以AI赋能数字人/元宇宙应用职位基本要求熟悉UE5/UE4，具备两年以上虚幻引擎的开发经验或技术管理经验；熟悉蓝图与相关的C++开发；对网络模块有足够了解；具备UI/逻辑/图形渲染的开发能力；能熟练使用角色状态机、面部驱动等功能；职位进阶要求有较高的审美能力，有精益求精的意识者为佳；对虚拟数字人、VR、AR行业、元宇宙板块有一定的了解与热情者为佳；有性能优化、系统测试经验者为佳；深刻理解 Unreal 框架，有插件开发经验者为佳；有一定的技术美术能力者为佳，包括但不限于：对材质PBR渲染、灯光渲染有一定了解；对人物建模、动画制作、骨骼绑定、表情绑定有一定了解；对道具、场景、材质球设计的流程有一定了解；了解其他引擎或拥有相关软件能力者为佳。,投递要求：简历要求：中文截止日期：,长泰广场,本科,5天／周,实习3个月
初级IT技术架构工程师实习生,埃森哲,150-200/天,能够在埃森哲技术实习生项目获得什么？埃森哲培训生项目将使你在职涯开端拔得先筹，为在埃森哲的职业成功奠定基础。 在埃森哲企业技术创新事业部（Accenture Grearter China Technology Group）近一年的实习项目将提供密集的系统培训，真实而丰富的项目体验，获取对某一种技术领域的深入理解以建立起具有优势的职场竞争力。在培训期内，同学们将接受通用技术培训和专向技术培训，并在此之后完成充满挑战性的项目实训任务。每名培训生将配备一位更富经验的埃森哲员工作为导师，帮助其确定职业发展目标，获取内部资源以最大程度地促进个人职业发展。 表现优异的实习生更将有机会在毕业后加入埃森哲，快速晋升至下一个职业等级。 我们提供的实习机会： 1.初级 IT 业务咨询顾问•了解业务和客户的需求，帮助客户实现可落地的数字化转型 •依据业务需求，快速适应不同的项目角色（包括但不限于设计、开发、项目管理等） •学习全球主流商务软件的使用及设计等知识，掌握从设计到测试的基本流程，并完成相关基础工作 •通过不断学习，最终成为不仅熟知业务，且可独立完成需求分析的上流设计的高级 IT 咨询顾问 2.初级 IT 技术架构工程师 •参与公司统一智能平台/应用的架构设计，开发，测试，项目管理等，并根据业务需求能快速适应不同的项目角色 •参与客户智能应用解决方案设计，开发，测试，改善用户体验。 •学习了解业务知识，挖掘客户的需求，帮助客户实现可落地的智能应用解决方案，数字化转型。 •有机会学习大数据，人工智能，智能应用等新兴技术，掌握从解决方案架构到落地实现的整个流程，可独立研究工作，最终快速成长为行业专家。 •与埃森哲智企业技术创新事业部（6000+人）一起工作，接触业界最新的解决方案和技术培训，有广阔的发展空间和更多的发展机会。 •提供长期系统性的技术培训，业界技术大神带队，相关高额的技术培训和考试费用全部可以报销。 •工作内容包括但不限于：智能应用解决方案的技术咨询，架构与设计，开发，部署，测试，上线等。 •职位面向日本本土客户（日文）或日本客户的海外业务（英文）我们对你的期望•2024年应届毕业生，本科及以上学历 · 计算机，软件，信息，通信，电子等IT相关专业、理工科相关专业、日语专业； •乐于接受挑战，具备卓越的逻辑思维，分析和解决问题的能力； •拥有良好的外语能力： IT、理工科专业：二级相当及以上优先，优秀者可放宽至日语基础 日语及文科专业：日语一级，口语流利优先 •可全程（23年9月至24年6月）参加整个实习生项目，一周能实习5天者优先考虑；部分项目可根据学校安排确定实习时间•有志于从事IT行业，并在毕业后与埃森哲一起开启职业生涯。 可实习和工作的城市：上海,投递要求：简历要求：不限截止日期：,上海市/上海市/静安区上海多媒体谷启迪大厦广中西路777弄65号,本科,5天／周,实习3个月
IT技术支持工程师实习生-上海,DXCTechnology,200-250/天,职责描述：1、负责桌面计算机软硬件安装、配置、升级、运行维护与管理2、保障桌面系统正常运行，满足日常工作的需要。3、负责办公设备（计算机、显示器、电话、网络设施和其他附属硬件设施，如打印机、扫描仪）的运行维护与管理，保证日常工作正常进行。4、撰写运行技术文档，统计整理运维数据等5、上级领导安排的其他事宜。职位要求：1. 大专或者本科以上学历，计算机相关专业；非计算机专业、爱好计算机技术者亦可2. 英文水平良好，可以商务读写以及简单的口语沟通。3. 熟悉微软Windows操作系统和Office系列产品；4. 具备IT基础架构(network，VPN，服务器等)的基本知识；5. 具有团队合作精神和良好的沟通能力实习补贴：日薪本科200/硕士230实习时间：2022年8月-2023年6月工作地点（多个site选择）：上海市静安区南京西路1168号中信泰富（2个需求）上海市静安区南京西路 1601号 越洋国际广场 12 层（1个需求）上海市普陀区岚皋路555号品尊国际A座12F（2个需求）上海市长宁区兴义路8号万都中心36楼（1个需求）上海市浦东新区世纪大道201号渣打银行大厦18楼（1个需求）公司简介DXC Technology（NYSE:DXC）是全球独立端到端IT服务公司。DXC Technology由惠普公司（HP）的企业服务事业部和美国CSC软件公司合并成立，在70个国家/地区拥有近6000家企业和公共事业客户及130，000员工。DXC大中华区总部位于北京，全国共8个全球交付中心，约3000名本地员工，分布在北京.上海.大连.武汉.青岛.西安等城市，服务于1000多家中国企业客户，是最早获得CMMI5认证的中国企业。DXC 领袖地位和成就·    2022年全球财富500强位列207位·    Barrons可持续发展最佳企业百强·    福布斯2020世界最佳雇主·    领导者:IDC MarketScape全球托管安全服务·    领导者:NelsonHall 2020高级数字工作场所服务·    CRN 2021解决方案提供商500强位列第四·    Newsweek的2021年美国最负责任企业之一,投递要求：简历要求：中文截止日期：,上海市静安区南京西路1168号中信泰富；上海市静安区南京西路1601号越洋国际广场12层；上海市普陀区岚皋路555号品尊国际A座12F；上海市长宁区兴义路8号万都中心36楼；上海市浦东新区世纪大道201号渣打银行大厦18楼；,大专,5天／周,实习6个月
前端开发（AI游戏),织时律科技有限公司,150-250/天,工作职责：1、代码开发与测试: 协同工作团队参与前端代码的编写、测试和调试。使用现代前端技术栈（包括但不限于HTML，CSS，JavaScript，React，Vue等）进行开发工作。2、技术学习与研究: 积极学习和探索前沿的前端开发技术和工具，如LangChain等新的技术框架，以及AI相关新型技术及论文。3、协同合作: 与开发团队、产品经理、设计师等职能团队密切合作，共同确定项目需求，进行项目开发和优化。4、问题解决: 对产品进行细致的测试，找出并修复前端问题，优化用户体验。5、技术文档编写: 根据需要编写技术文档，如开发指南、用户手册等。职位要求：1、实习时间至少6个月，2、本科学历及以上，计算机相关专业优先；3、熟悉 JavaScript/HTML5/CSS3 等相关前端开发技术，有移动端开发经验；4、熟悉至少一种主流前端框架（Angular、React、Vue 等），有上手开发经验，对底层实现原理有基本了解；5、了解前端主流打包工具（webpack、vite 等），对打包构建流程有一定的了解；6、有模块化 / 组件化开发思维，对写出高质量可复用的代码有一定的追求；7、工作积极负责，对学习新东西有热情，有一定的好奇心和创造能力，有独立思考和解决问题的精神。,投递要求：简历要求：不限截止日期：,上海市/上海市/徐汇区中南新邨淮海中路1670弄1-32号,本科,5天／周,实习3个月
IT技术支持实习生（中日韩方向）,塔塔咨询服务,150-200/天,岗位职责：1.通过电话、邮件以及远程连接等方式帮助企业用户解决问题；2.对每个电话或者邮件进行录单。如果无法解决，会继续跟单或者派给二线组解决；3.良好的学习能力，愿意接受公司IT技术培训。岗位要求：1.计算机相关专业；2.英语四级及以上水平；3.对计算机行业感兴趣，有计算机相关实习经验优先；4.良好的沟通表达能力和团队协作意识，抗压能力强。,投递要求：简历要求：中文截止日期：,上海浦东新区郭守敬路498号,大专,4天／周,实习5个月
游戏网站前端开发,美宸,200-300/天,投递前的小Tips：请同学们在投递前先准备好简历的内容，此岗位需要实际扎实的Nodejs和VUE框架基础，请勿盲目投递，非常感谢！岗位职责：1、参与GameFi项目相关产品前端开发工作2、参与GameFi项目讨论和UI设计，配合UI团队设计系统交互流程，实现UI效果3、协助团队改进框架，优化前端性能岗位要求：1、本科及以上学历、专业不限，有过BlockCHAIN项目参与经验加分2、精通Javascript，ECMAScript6，HTML，CSS，Ajax，jQuery，VueJs，Bootstrap等前端开发技术3、特别需要精通Vue，Vue3框架4、有NodeJs实战经验，熟练Websocket的优先5、学习能力强、热衷技术、喜欢钻研，有Github或者个人技术网站的优先6、有前端自动化测试、单元测试方面经验者优先项目简介：我们是一家极具潜力的创业型公司，目前正在创作一个现象级的游戏项目，希望志同道和且有不错技术功底的小伙伴关注一下，投递时请附上作品,投递要求：简历要求：中文截止日期：,上海市/上海市/杨浦区创智汇翔殷路999号3号楼,本科,5天／周,实习3个月
前端开发实习生(A246577),NIO蔚来,300/天,职责描述：负责能源体系以下业务的前端开发：1、内部提效工具：例如devflow / mockserver / 数据库管理平台等2、后台运营管理系统：如powergo、cmo portal、powerhub开发等3、App H5：如NIO App和加电App内的H5开发4、小程序开发：加电小程序前端开发任职要求：1、熟悉HTML/CSS，HTML标签语义化，CSS样式2、熟悉JavaScript，有原生JS应用经验，熟悉Vue/React有项目应用经验，有UI组件库应用经验3、能精确还原页面设计，制作常规交互动画4、理解 Web 标准，熟悉 HTTP 网络协议5、良好学习能力、工作压力承受能力、沟通表达能力，服务理念和合作精神以下为加分项：1、熟悉页面模块化、组件工程化、性能优化者优先2、有任意一门后端语言开发能力，熟悉常用数据库（MySQL等）优先3、熟悉常用算法，熟悉设计模式优先4、Canvas、webGL、webpack/vite、Vue/React中一项有较深入研究优先5、有自己技术博客，github 有自己项目优先,投递要求：简历要求：中文截止日期：,上海市/上海市/闵行区虹桥镇田林路1016号上海科技绿洲23号楼,本科,5天／周,实习3个月
前端开发实习生(A73776),NIO蔚来,300/天,职责描述：- 负责蔚来用户全生命周期服务产品的Web相关产品开发； - 根据项目安排，独立完成中小型项目的系统分析、设计，并主导完成详细设计和编码的任务； - 根据产品设计要求，完成程序编码、调试、测试和维护工作； 任职要求：- 熟练掌握TypeScript语言。熟悉 HTML/CSS/JavaScript 等前端技术，能轻松写出符合 W3C 标准、兼容主流浏览器的代码； - 理解 Web 标准，有丰富的关于可用性、浏览器原理及网站性能优化等方面的知识，且有成功案例； - 掌握前端构建工具搭建适合项目的前端开发工程化解决方案； - 有Vue.js 项目开发经验，熟悉基于Vue.js的组件化开发模式； - 熟悉ECharts，或其他用于可视化的JS框架； - 良好的沟通能力，责任心强，具备良好的团队合作精神和抗压能力- 实习3个月以上，每周至少4天，211以上的优秀学校，有相关实习经历的本科生或者研究生优先,投递要求：简历要求：中文截止日期：,上海市/上海市/闵行区虹桥镇田林路1016号上海科技绿洲23号楼,本科,5天／周,实习3个月
安全前端开发实习生,小红书,200-300/天,岗位职责1、负责小红书风控平台系统的开发工作，为风控策略算法/运营团队提供安全易用的平台能力；2、持续提升前端框架的用户体验和响应效率，不为拙劣的设计妥协。任职要求1、扎实的数据结构与算法基础，熟练掌握Vue，React或者常见BFF框架至少一种；2、对于新技术有好奇心，乐于尝试行业最新的技术，有比较好的解决问题的能力，能够设计技术解决方案并且落地；3、对于用户交互体验有热爱，热衷于通过技术手段不断提升用户体验。,投递要求：简历要求：中文截止日期：,上海市/上海市/黄浦区小红书公司马当路388号SOHO复兴广场F1,本科,4天／周,实习4个月
前端开发工程师（实习）,艾杰飞,200-400/天,该职位只招收2024届及以后的应届生 暑期7月之后可以开始实习 【工作内容】■ 负责公司内部系统的开发■ 负责公司门户网站的开发■ 负责APP和小程序的前端维护和开发■ 负责公司内部chrome插件的开发【工作魅力】■ 不加班■ 开发技术偏互联网，非传统日企，氛围不严肃枯燥，整体氛围年轻有活力■ 前端技术栈：1.内部系统SPA:ant design pro+react+typescript2.ToC的app和小程序:taro+react-native+typescript3.公司门户网站:next.js+react+typescript4.最新技术栈 next.js 13 + tRPC + tailwind css + typescript 全栈■ 提供实习转正【必须条件】■ 本科以上■ 计算机系相关专业■ 可工作一周3-5天■ 对前端感兴趣，并立志于成为一名优秀的前端开发工程师的■ 有钻研和学习的良好意识【优先条件】■ 希望有React开发经验或自学经验，或者有vue3相关经验并有兴趣技术栈从vue3转向react的■ 有小程序开发经验或自学经验RGF(リクルート・グローバル・ファミリー)是日本综合人力资源服务商リクルート的海外拓展品牌。我们免费向求职者提供一对一专人顾问咨询服务，内容涵盖职业生涯规划、招聘岗位推荐、面试&offer调整、入职后跟进等就职系列服务。我们的区域覆盖：上海、北京、广州、深圳、苏州、天津等多地，欢迎邮件垂询。,投递要求：简历要求：中文截止日期：,上海市区,本科,5天／周,实习6个月
